id,original_name,normalized_name
2c75828b-b844-4241-9f10-8dfa1a29d18b,Shanghai Fudan Microelectronics Co Limited/Adr,shanghai fudan microelectronics co limitedadr
ccf5c676-eaec-45e4-8c9a-e6101fde232d,Shanghai Fudan Microelectronics Co Limited/Adr,shanghai fudan microelectronics co limitedadr
3876de89-520f-4b2f-8886-8ea3f66987fc,Ligand Pharmaceuticals Inc,ligand pharmaceuticals inc
bc86733c-4331-4e99-893b-e6c7ea27ed24,Ligand Pharmaceuticals Inc,ligand pharmaceuticals inc
1c11d4f2-2d5a-4fa8-9c19-c34751a38067,Tidewater Inc,tidewater inc
3f7f4724-3208-4934-8339-4b4c8ecbcbc4,Tidewater Inc,tidewater inc
042f8374-d7bf-4064-9e64-0bd8c86a2ea1,Central Garden & Pet Co,central garden pet co
92b3987d-5162-4ff4-ad19-f753d787fca4,Central Garden & Pet Co,central garden pet co
aa3da88f-4bf3-4983-90d4-7d3c90ddc49a,"Banc Of California, Inc.",banc of california inc
a505da5d-5503-4000-8f54-a4d4ad19bcbb,"Banc Of California, Inc.",banc of california inc
fc87b316-5743-4f5a-a215-96fabfacd934,Global Partners Lp,global partners lp
46a66956-e644-4ad1-99ee-1d37927b39d6,Global Partners Lp,global partners lp
0f14b410-cabd-4c4e-9a9a-56eb747cfaeb,Costamare Inc.,costamare inc
e840283a-a510-4672-a851-8668f0e4c39a,Costamare Inc.,costamare inc
c8efb137-a1e8-492b-966f-827f45c614dc,"Ramaco Resources, Inc.",ramaco resources inc
4a3161e9-01c7-4420-a3d5-e5506c3b418b,"Ramaco Resources, Inc.",ramaco resources inc
7e38eba8-50cb-432d-81e2-ddb7e74a43f8,"Saul Centers, Inc.",saul centers inc
14c4dc0f-0b6f-4507-b1e4-25f5673ce704,"Saul Centers, Inc.",saul centers inc
e64deecf-c56b-42fd-978e-d3526c2d192e,"Saul Centers, Inc.",saul centers inc
4a63ef28-742a-43c7-9242-2a323703baa9,"Global Ship Lease, Inc.",global ship lease inc
f32943dc-fa6b-4464-8572-fe82f4babb34,"Global Ship Lease, Inc.",global ship lease inc
fcb92993-2a46-4552-a59b-05a01f78d635,"Mfa Financial, Inc.",mfa financial inc
aa16cd6b-cff9-491e-ab6a-09c651e8ba9f,"Mfa Financial, Inc.",mfa financial inc
4e2f1f80-0167-4d0d-a25b-e6e328dfc585,"Mfa Financial, Inc.",mfa financial inc
b57b5dd7-7146-4935-b98c-def6c9c656af,"Summit Hotel Properties, Inc.",summit hotel properties inc
7d746e12-ddb5-4252-a824-4e6283893137,"Summit Hotel Properties, Inc.",summit hotel properties inc
e4ed6e0d-6e2a-4ea3-b7e0-5a336248d2cb,Kkr Real Estate Finance Trust Inc.,kkr real estate finance trust inc
2627011a-91b7-458a-ad03-95f8b0a4f592,Kkr Real Estate Finance Trust Inc.,kkr real estate finance trust inc
408b0fd3-0902-45de-9a31-522d179311ad,Tsakos Energy Navigation Ltd,tsakos energy navigation ltd
99b81b05-b872-462f-bace-3105b71ffff8,Tsakos Energy Navigation Ltd,tsakos energy navigation ltd
56fde417-097c-4e04-8ce2-d0cc5ab50ce1,"Priority Technology Holdings, Inc.",priority technology holdings inc
de4e8fe5-642e-4e05-a448-15af682d5c45,"Priority Technology Holdings, Inc.",priority technology holdings inc
53cbd817-ee7a-4c69-a463-a1839ff463c8,Ngl Energy Partners Lp,ngl energy partners lp
